area,bedrooms,open_sides,floors,location_score,price
3581.29,2,4,3,6.96,11702208.57
2346.79,2,4,1,2.8,7561942.69
4514.21,2,1,1,6.36,14336808.45
1588.34,2,1,1,6.45,5620477.22
2716.81,1,4,1,5.36,8805414.92
2609.12,2,2,1,7.71,8751935.85
3156.04,1,3,1,2.42,9842127.63
4777.73,1,2,1,7.78,15252746.05
3072.26,6,4,1,9.03,10546226.71
574.65,2,2,1,8.35,2803838.83
1060.98,1,3,3,8.07,4045921.42
3926.8,6,2,3,7.11,12947609.77
1856.2,1,3,3,2.79,5972643.14
548.77,6,4,3,4.02,2536483.0
2303.83,4,1,2,4.04,7607604.94
2139.21,1,4,2,6.21,7182986.78
1973.74,4,4,3,1.22,6414185.48
4937.0,1,3,1,5.19,15467053.21
1126.72,1,1,1,2.05,3682836.14
4550.08,5,3,1,1.95,14087249.75
1821.16,4,4,1,5.48,6329731.01
4937.95,5,4,3,7.83,16035491.05
2812.95,4,3,1,8.31,9474188.34
1936.91,6,3,1,9.88,7084900.95
703.48,5,4,2,7.82,3236021.42
3330.24,4,3,3,5.13,10742151.16
2251.41,4,3,3,3.41,7455184.49
4669.64,4,2,3,7.07,14956230.33
4769.98,3,2,3,3.02,14836526.61
1814.65,2,3,3,8.63,6593543.4
3613.53,2,2,2,9.79,12033500.11
4178.5,1,4,2,1.05,12744274.76
4174.7,4,1,2,4.12,13285680.11
4864.59,4,4,3,6.72,15633218.6
4275.04,2,3,3,9.32,13966185.97
1428.5,4,2,2,2.25,4946537.63
1000.39,1,4,3,4.64,3673899.88
985.51,6,2,1,2.98,3621402.25
3325.55,5,4,3,6.57,11051301.13
2249.05,6,2,3,8.44,8016430.72
820.35,4,1,3,5.69,3378495.48
3332.29,4,1,1,4.37,10777293.82
2353.28,5,3,1,9.08,8321145.46
2894.51,5,3,1,7.73,9777482.13
2788.57,5,3,3,4.43,9145524.25
3290.33,5,2,2,2.11,10474766.85
2101.88,6,1,1,5.5,7160097.44
1785.7,4,2,1,8.63,6549804.76
2055.63,1,2,2,8.07,7183089.02
3776.97,6,3,1,3.78,12085220.92
1296.55,1,3,2,1.62,4256741.55
774.85,4,1,3,5.45,3134933.95
947.49,3,4,1,2.28,3401827.58
2942.26,5,2,2,6.03,9763381.27
2853.94,4,4,2,7.36,9677034.99
4133.48,6,3,2,9.75,13767012.13
601.11,2,3,1,1.96,2102610.43
4939.88,2,3,3,7.43,15843725.17
4793.23,3,4,3,5.17,15232561.09
2246.76,1,3,3,8.85,7878981.07
4330.12,5,3,3,9.45,14269857.7
551.09,2,1,1,1.12,1847199.05
2069.91,6,3,3,7.99,7478938.86
964.06,6,4,1,6.24,3964297.2
2268.94,5,1,3,2.3,7380176.96
4683.64,5,3,1,4.26,14943377.22
2861.4,2,1,3,6.6,9418636.24
2160.11,1,2,1,1.99,6808225.84
878.63,5,3,1,2.05,3251447.79
4288.23,5,4,1,3.73,13640060.44
2566.11,5,3,2,6.14,8673582.2
3975.43,1,4,2,8.08,12971725.35
995.23,1,1,3,2.62,3339782.64
1989.04,4,4,3,8.94,7132647.07
2365.81,2,4,1,9.23,8232449.21
878.48,4,1,2,7.99,3641624.14
1635.97,5,3,1,6.8,5983225.24
4864.61,6,4,3,8.75,15895251.89
3252.74,3,4,3,2.3,10262116.6
3524.61,3,1,3,5.81,11342128.04
3636.57,1,1,1,7.65,11670342.99
4158.05,2,1,3,5.06,13176546.48
1143.46,5,1,3,7.88,4556236.82
4526.72,1,1,3,1.3,13912616.32
2303.43,1,3,3,3.55,7493567.92
2102.44,5,1,2,1.6,6763835.15
2874.65,2,3,2,1.39,8939376.52
1963.99,4,4,2,1.86,6418994.65
2999.44,4,1,3,5.94,9803472.63
2834.56,2,3,1,2.07,8872229.77
4661.12,4,3,2,1.18,14406559.66
3160.74,2,3,2,7.32,10435763.71
1733.25,2,3,3,6.25,6111403.75
3057.39,3,1,1,6.45,9991211.9
2841.38,5,2,2,9.85,9886525.11
1267.36,6,3,3,2.33,4567841.5
846.41,4,1,3,3.42,3113736.04
3433.83,3,4,3,1.93,10801384.53
1567.52,2,1,2,6.55,5520513.03
4942.74,5,1,3,4.48,15601129.0
746.43,1,4,2,7.84,3235828.81
792.73,4,4,1,7.12,3365018.68
2832.48,3,1,1,2.98,8981247.66
1297.0,2,1,1,4.36,4453231.15
4957.27,5,1,2,5.79,15744520.56
4731.04,6,4,2,7.68,15454220.81
1633.02,2,4,2,3.81,5583779.4
2932.86,3,2,2,4.45,9562233.02
2378.35,5,4,1,1.28,7673275.05
3767.41,6,4,1,3.55,12028940.75
4354.2,1,4,3,5.02,13754222.5
1331.85,1,2,3,2.84,4426387.26
1621.82,1,1,3,7.78,5709010.74
1049.17,4,2,3,2.29,3672271.65
2025.63,2,1,1,7.1,6881576.53
4776.07,4,3,2,4.23,15002052.75
3989.87,2,2,1,3.86,12435070.12
2287.79,6,3,2,8.69,8200377.39
2756.82,4,1,3,8.75,9447740.67
1190.08,6,4,1,4.04,4406630.56
838.12,6,2,2,2.96,3198273.14
1725.38,4,2,1,7.14,6166723.47
841.38,3,3,2,4.65,3221792.74
1613.07,6,1,2,3.03,5464115.75
3094.32,3,2,3,6.69,10280504.96
3890.2,3,1,3,8.87,12771676.45
1819.45,6,2,2,7.78,6677862.01
2340.29,5,4,1,8.79,8210360.05
3504.01,1,1,2,5.6,11207166.11
3750.14,3,1,3,4.66,12016036.66
3385.16,5,2,1,6.43,11235167.83
2293.27,1,2,3,2.01,7264944.7
3093.3,3,4,1,3.09,9894976.45
1954.41,3,4,1,2.42,6388781.89
1248.28,4,1,2,1.68,4215513.07
2396.41,4,1,2,9.22,8415404.32
881.77,6,3,2,3.0,3415591.58
1081.22,3,3,3,8.43,4347366.87
1618.2,5,3,3,8.36,6138315.68
4849.95,6,4,2,2.57,15286678.78
3403.28,3,2,2,3.82,10832292.21
621.93,6,3,1,4.15,2618725.48
618.65,2,2,3,3.76,2470337.85
2983.58,4,2,2,2.36,9538328.41
1660.74,1,1,3,2.72,5318957.54
665.07,2,1,1,1.49,2219072.86
1764.21,2,3,2,4.17,5941526.69
872.59,6,1,3,1.83,3173486.74
1544.96,4,4,3,6.06,5596262.93
3158.75,3,4,2,1.27,10027467.29
3290.6,5,2,3,1.93,10374639.29
1174.63,4,3,1,8.69,4782044.11
1528.89,6,4,2,6.89,5659622.09
1407.32,6,2,2,2.57,4884532.41
3421.45,4,4,2,2.87,10858077.3
827.43,6,4,3,8.72,3849950.99
2729.71,1,4,2,6.17,8987758.79
1194.63,2,4,3,9.87,4826690.91
2714.52,2,3,1,1.05,8421315.28
4862.62,2,4,2,6.57,15545845.54
2295.51,5,1,1,6.54,7798598.39
1718.35,6,4,3,6.38,6250969.58
1201.98,5,2,1,2.38,4198851.04
1026.8,1,4,3,2.03,3519616.3
4127.91,4,2,2,5.15,13147135.94
1949.36,4,4,1,1.55,6203205.06
2586.64,2,2,2,4.83,8465526.09
3357.92,4,1,2,8.08,11152186.06
531.28,5,3,3,8.65,2885915.23
3390.89,4,2,3,4.99,10998375.93
4578.59,6,2,3,8.39,14987617.72
3271.33,2,1,1,5.65,10477614.39
3406.63,4,1,3,6.35,11149332.32
569.55,2,4,1,5.73,2511764.45
694.22,1,4,3,3.08,2570426.9
4321.51,1,1,1,5.68,13653006.81
2287.33,1,4,3,5.87,7720908.14
1009.57,5,3,2,9.5,4274447.15
2193.17,5,4,1,2.83,7208976.93
2165.71,6,4,1,6.25,7556627.62
1187.87,2,2,2,7.22,4426293.66
1330.34,5,1,3,5.54,4825314.24
3089.63,1,2,2,1.69,9586265.88
1130.38,6,3,2,9.46,4712355.51
1591.12,1,2,1,1.38,4939164.26
1231.78,3,3,3,4.12,4386982.36
2759.88,3,4,3,7.26,9284507.34
554.7,2,2,3,5.62,2469932.4
4920.7,3,1,2,2.95,15316009.77
1471.19,3,3,2,6.37,5337633.58
524.85,6,4,2,5.92,2629130.53
3324.69,2,1,3,7.18,10877531.32
2632.83,6,1,1,2.19,8425306.92
668.07,2,4,1,1.14,2285284.0
4792.68,3,2,1,5.06,15100485.37
3316.37,5,4,2,7.49,11122581.58
2712.27,1,4,3,7.42,9038969.13
867.92,1,1,3,6.7,3388600.54
2483.43,5,1,2,1.79,7911231.22
2955.28,3,4,3,8.28,10016865.87
2384.47,1,2,3,1.74,7459659.39
2266.0,3,2,1,2.72,7303196.41
4447.4,5,1,1,4.27,13964052.55
1963.32,6,4,1,3.79,6736418.69
4757.52,5,4,3,1.37,14718609.04
2167.12,2,1,2,8.5,7563728.12
619.39,2,2,1,3.46,2395869.49
2595.19,1,2,2,8.37,8725602.47
4137.79,3,3,1,7.47,13317642.89
3437.36,5,2,3,8.15,11368834.88
4198.37,2,3,2,7.06,13512156.9
1233.2,4,2,1,1.07,4025203.16
1203.97,5,1,3,8.74,4861816.36
3025.75,5,3,1,3.28,9793599.51
1318.21,1,2,2,1.52,4306015.96
3205.02,1,3,2,5.45,10317959.62
2550.46,5,1,1,1.86,8064463.5
3895.44,2,2,2,6.71,12545614.25
812.13,4,2,2,3.87,3062837.91
1341.7,1,2,3,8.1,5000485.21
3096.07,4,1,3,4.87,10103892.98
3555.96,3,4,2,7.17,11624308.9
4537.47,6,1,3,4.2,14418364.74
4145.51,5,4,2,3.94,13259844.63
661.74,6,4,2,6.89,3112284.31
3350.32,5,1,2,6.69,11006973.4
2716.33,5,1,1,7.26,9145126.8
3368.43,1,2,1,5.44,10688851.57
2834.77,4,4,3,7.95,9593641.26
3807.82,1,4,2,7.5,12348615.16
565.45,1,4,1,2.81,2175468.41
4394.78,2,2,2,9.47,14361144.64
4397.79,6,2,3,9.59,14529388.68
2033.62,5,1,3,4.11,6848166.37
4097.37,5,2,2,1.69,12834620.58
3960.44,2,3,1,5.8,12678423.95
1519.23,1,1,3,1.64,4809019.05
1239.2,1,4,1,4.98,4391379.9
3085.13,3,3,3,8.03,10322614.52
1608.81,2,4,2,9.08,6048188.07
3125.26,3,1,1,9.05,10511747.57
2114.74,2,1,2,3.54,6818281.64
4884.78,6,3,2,7.1,15724009.03
3666.46,4,2,3,1.25,11416484.7
3303.01,4,3,1,6.35,10858039.92
731.65,1,3,3,2.12,2560776.78
2937.35,6,1,2,7.57,9959150.96
590.32,6,1,3,9.54,3071696.0
3485.76,5,1,1,9.47,11716397.56
1113.67,5,2,2,4.86,4220234.14
2716.78,1,2,3,3.86,8765798.15
1782.93,6,1,1,7.15,6338936.55
1031.74,6,4,3,1.12,3709261.94
866.07,2,2,1,8.97,3721023.78
1124.72,6,3,3,1.14,3923692.11
2408.59,4,4,1,5.99,8182525.96
4682.19,3,3,1,4.56,14804131.5
4712.7,1,3,3,4.36,14825709.46
4099.62,2,4,3,4.12,12928654.17
